BSC Star Number,RA,DEC,Mag
1,1.2912500000000002,45.229166666666686,6.7
2,1.2658333333333336,-0.5030555555555557,6.29
3,1.3337500000000004,-5.707500000000001,4.61
4,1.4250000000000005,13.396111111111114,5.51
5,1.5666666666666667,58.43666666666667,5.96
6,1.579166666666667,-49.07500000000002,5.7
7,1.610416666666667,64.19611111111112,5.59
8,1.653333333333334,29.021388888888897,6.13
9,1.7087500000000002,-23.107500000000005,6.18
10,1.825833333333334,-17.386388888888895,6.19
11,1.9337500000000005,-2.548888888888888,6.43
12,1.9450000000000007,-22.508888888888894,5.94
13,2.014583333333334,-33.529444444444465,5.68
14,2.0504166666666674,-2.4477777777777776,6.07
15,2.097083333333334,29.090555555555568,2.06
16,2.0725000000000007,-8.82388888888889,5.99
17,2.1708333333333343,36.626666666666665,6.19
18,2.139166666666667,-17.577500000000008,6.06
19,2.2175000000000007,25.46277777777778,6.23
20,2.3341666666666665,79.71472222222226,6.01
21,2.2945833333333336,59.149722222222216,2.27
22,2.260000000000001,18.211944444444452,5.53
23,2.260000000000001,-54.00194444444446,6.33
24,2.337500000000001,-27.987777777777783,5.42
25,2.3529166666666668,-45.747499999999995,3.88
26,2.509583333333334,11.14555555555556,5.51
27,2.5804166666666677,46.072222222222244,5.03
28,2.6237500000000007,57.16555555555558,6.74
29,2.578333333333334,-5.24861111111111,5.84
30,2.5087500000000005,-82.2238888888889,5.28
31,2.6783333333333346,-12.580000000000002,5.85
32,2.6608333333333345,-73.22444444444443,6.64
33,2.8162499999999997,-15.468055555555557,4.89
34,2.8933333333333335,-27.79972222222223,5.41
35,2.9333333333333336,-35.133055555555565,5.25
36,2.9962500000000003,48.15250000000002,6.16
37,3.041666666666668,-17.938333333333333,5.25
38,3.21,37.69333333333332,6.73
39,3.309166666666668,15.18361111111111,2.83
40,3.3500000000000014,26.98722222222223,6.3
41,3.3783333333333343,41.0352777777778,5.72
42,3.4254166666666674,-26.02194444444445,5.94
43,3.4341666666666684,-26.28472222222223,6.31
44,3.509583333333335,33.20611111111112,6.25
45,3.6508333333333347,20.206666666666678,4.8
46,3.6150000000000024,-7.780555555555556,5.12
47,3.330833333333335,-84.9941666666667,5.77
48,3.6600000000000015,-18.932777777777787,4.44
49,3.7337500000000015,22.284166666666675,6.24
50,3.745000000000001,8.820833333333336,5.79
51,3.7270833333333346,-9.569722222222222,5.75
52,3.779166666666668,31.535833333333347,6.45
53,3.7941666666666665,27.283055555555563,6.35
54,3.742500000000001,-34.90444444444446,6.17
